,Name,Rating,Total Matches
0,Goku,1579.2214393637196,8
1,Hamza,1536.2100119686916,8
2,Filfrap,1525.960717619415,15
3,Hflow,1524.2709746600174,3
4,K-Neutron,1510.6688375810454,5
5,Myax,1508.704580397637,3
6,DS,1508.3817274114901,4
7,Miel,1508.1994933817764,3
8,Gara,1500.555992862161,8
9,Nico,1500.3439290587016,2
10,Milliard,1500.0920993345783,2
11,Meil,1500.0,1
12,Fiasco,1500.0,2
13,Lil Kika,1500.0,1
14,Le Mino,1499.9941348385394,2
15,Chinzou,1499.8100072385512,2
16,Treil,1499.6358900537862,2
17,Kredox,1495.9215146803915,8
18,Matteo,1492.6199627578467,3
19,Nass,1492.3727094813983,3
20,Cam,1492.3570653169093,1
21,Lenoble,1492.266852040297,1
22,Jiji,1492.0,1
23,Mokujin,1492.0,1
24,Rokun,1492.0,1
25,Freddy,1492.0,1
26,Kimps,1492.0,1
27,Double H,1492.0,1
28,Method,1492.0,1
29,Didjo,1491.9843431147356,1
30,Jade,1491.8890393741435,1
31,Haja,1491.7237996090819,1
32,Marijuana,1484.1841742594847,2
33,Chenny,1484.1533130249643,2
34,Fabien,1483.9968922470337,2
35,Sparrow,1477.315958019011,6
36,Vision,1477.1160310027374,3
