Date,Player_1,Player_2,Bracket,Winner,Special
04-26-22,Filfrap,Mokujin,4,Filfrap,
04-26-22,Hflow,Sparrow,4,Hflow,
04-26-22,Milliard,Marijuana,4,Milliard,
04-26-22,K-Neutron,Hamza,4,K-Neutron,
04-26-22,Hflow,Filfrap,2,Hflow,
04-26-22,Milliard,K-Neutron,2,K-Neutron,
04-26-22,Hflow,K-Neutron,1,Hflow,
06-20,Hamza,Haja,8,Hamza,
06-20,Marijuana,Treil,8,Treil,
06-20,Miel,Freddy,8,Miel,
06-20,Nass,Jiji,8,Nass,
06-20,Lil Kika,Goku,8,Fabien,
06-20,Filfrap,Fabien,8,Filfrap,
06-20,Matteo,Fiasco,8,Fiasco,
06-20,Sparrow,Kredox,8,Sparrow,
06-20,Fiasco,Miel,4,Miel,
06-20,Treil,Goku,4,Goku,
06-20,Filfrap,Nass,4,Filfrap,
06-20,Hamza,Sparrow,4,Hamza,
06-20,Goku,Filfrap,2,Goku,
06-20,Hamza,Meil,2,Miel,
06-20,Goku,Miel,1,Goku,
07/11/22,Gara,Double H,8,Gara,
07/11/22,Chinzou,Vision,8,Chinzou,
07/11/22,Rokun,DS,8,DS,
07/11/22,K-Neutron,Lenoble,8,K-Neutron,
07/11/22,Nico,Method,8,Nico,
07/11/22,Sparrow,Vision,8,Sparrow,
07/11/22,Filfrap,Chenny,8,Filfrap,
07/11/22,Kredox,Chenny,8,Kredox,
07/11/22,Kredox,Chinzou,4,Kredox,
07/11/22,K-Neutron,DS,4,DS,
07/11/22,Sparrow,Gara,4,Gara,
07/11/22,Nico,Filfrap,4,Filfrap,
07/11/22,Filfrap,Kredox,1,Filfrap,Melee
07/11/22,Filfrap,Gara,1,Gara,Melee
07/11/22,Gara,DS,1,Gara,Melee
07/11/22,Gara,Kredox,1,Kredox,Melee
07/11/22,Kredox,Filfrap,1,Fiflrap,Melee
07/11/22,Filfrap,DS,1,Fiflrap,Melee
07/11/22,Filfrap,Gara,1,Fiflrap,Melee
12/20/22,Filfrap,Cam,8,Filfrap,
12/20/22,Matteo,Fabien,8,Matteo,
12/20/22,Jade,Kredox,8,Kredox,
12/20/22,Nass,Hamza,8,Hamza,
12/20/22,Le Mino,Kimps,8,Le Mino,
12/20/22,Myax,Sparrow,8,Myax,
12/20/22,Didjo,Gara,8,Gara,
12/20/22,Vision,Goku,8,Goku,
12/20/22,Filfrap,Matteo,4,Filfrap,
12/20/22,Hamza,Kredox,4,Hamza,
12/20/22,Gara,Goku,4,Goku,
12/20/22,Myax,Le Mino,4,Myax,
12/20/22,Filfrap,Hamza,2,Hamza,
12/20/22,Goku,Myax,2,Goku,
12/20/22,Goku,Hamza,1,Goku,
